Rank,Player,Gold,Silver,Bronze,S Tier,Earnings,Won,Region
1,crashies,3,5,2,0,"$60,250",10,North America
2,mixwell,17,5,1,0,"$60,855",23,EMEA
3,L1NK,11,5,2,0,"$68,083",18,EMEA
4,soulcas,11,5,3,0,"$68,163",19,EMEA
5,ScreaM,15,9,2,0,"$70,399",26,EMEA
6,TenZ,8,4,3,1,"$92,750",16,North America
7,zeek,13,4,1,1,"$94,754",19,EMEA
8,Redgar,9,4,1,1,"$101,115",15,EMEA
9,Bonecold,5,1,1,1,"$101,918",8,EMEA
10,Sheydos,10,4,0,1,"$102,626",15,EMEA
11,d3ffo,12,4,2,1,"$102,773",19,EMEA
12,Chronicle,13,6,0,1,"$103,574",20,EMEA
13,nAts,14,6,0,1,"$103,829",21,EMEA
14,Kiles,6,4,2,1,"$104,093",13,EMEA
15,starxo,12,4,1,1,"$104,394",18,EMEA
16,cNed,12,4,2,1,"$107,735",19,EMEA
17,SicK,12,3,1,1,"$112,650",17,North America
18,dapr,14,3,1,1,"$112,870",19,North America
19,ShahZaM,13,4,1,1,"$113,450",19,North America
20,zombs,13,5,1,1,"$113,550",20,North America
